Indicador;Tipo;O que se mede;Periodicidade;Onde medir;Como medir;Tendência
Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença de Aplicação da Tese;Nacional;"O tempo  decorrido  entre  o trânsito  em julgado/sentença  de mérito  de um precedente  e o jul- 
gamento  dos respectivos  processos  suspensos,  em relação  ao total  de processos  que estavam 
sobrestados e foram julgados após julgamento do precedente.";Semestral;Banco Nacional de Dados de Demandas Repetitivas e Precedentes Obrigatórios (BNPR);"TPSENTSOBR = ? (DATA DE TRANSITO EM JULGADO DO PROCESSO SOBRESTADO - DATA DA
SENTENÇA DO MÉRITO DO PRECEDENTE)/( TOTAL DE PROCESSOS JULGADOS QUE ESTAVAM
SOBRESTADOS POR DETERMINADO PRECEDENTE JÁ JULGADO)";Quanto  menor,  melhor
Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR);Nacional;"Indica  o tempo  decorrido  entre  a afetação/admissão  e publicação  do acórdão  de mérito  nos 
incidentes  de resolução  de demandas  repetitivas  (IRDRS),  em relação  ao total  de IRDRS  com 
acórdãos publicados no ano.";Semestral;Banco Nacional de Dados de Demandas Repetitivas e Precedentes Obrigatórios (BNPR);"TPSENTIRDR = ? (DATA DE PUBLICACAO DO ACORDAO NO INCIDENTE DE RESOLUÇÃO DE
DEMANDAS REPETITIVAS - DATA DA AFETAÇÃO/ADMISSÃO DO INCIDENTE DE RESOLUÇÃO DE
DEMANDAS REPETITIVAS) /( TOTAL DE INCIDENTES DE RESOLUÇÃO DE DEMANDAS REPETITIVAS (IRDR) COM ACÓRDÃOS PUBLICADOS NO ANO)
";Quanto  menor,  melhor
IDS - Índice  de Desempenho  de Sustentabilidade;Nacional;"Indica  a avaliação,  em uma  única  dimensão,  do resultado  combinado  de vários  indicadores  distintos  sobre  Sus- 
tentabilidade, permitindo assim, comparação objetiva entre os tribunais.";Anual;Balanço  Anual  das Sustentabilidade  do Poder  Judiciário.;"Aplicar o método AHP  Analytic Hierarchy Process. Esse é um dos principais modelos matemáticos para apoio à
teoria da decisão utilizada. O modelo exige que o seja atribuído um nível de importância e priorização para cada
uma das dimensões analisadas.";Quanto  maior,  melhor.
Taxa  de Encarceramento;Nacional;Indica  o total  de presos  provisórios  e presos  condenados  por 100 mil habitantes;Mensal;"Banco  Nacional  de Monitoramento  de Prisões  (BNMP  2.0 - link:  https://portalbnmp.cnj.jus. 
br/#/estatisticas) E Instituto Brasileiro de Geografia e Estatística (IBGE)";TE = ((PRESOS PROVISORIOS + PRESOS CONDENADOS) /(HABITANTES)) * 100.000;Quanto  menor,  melhor
TpCpCCrim  - Tempo  Médio  dos Processos  Criminais  pendentes  na Fase;Nacional;Indica  o tempo  efetivo  de duração  dos casos  criminais  pendentes  de conhecimento.;Anual;Base de Dados Nacional do Poder Judiciário (Datajud);TpCp aplicada aos processos de conhecimento criminais.;Quanto  menor,  melhor.
Índice  de Desempenho  no Prêmio  CNJ de Qualidade:  Eixos  Governança e Dados e Tecnologia .;Nacional;"Indica  aspectos  da gestão  judiciária  relacionados  às práticas  administrativas  de controle  e 
planejamento dos tribunais.";Anual;Resultado do Prêmio CNJ de Qualidade;"PRÊMIO GOV-DADOS = ((SOMA DA PONTUAÇÃO ALCANÇADA NOS EIXOS GOVERNANÇA E
DADOS E TECNOLOGIA) / (SOMA DA PONTUAÇÃO MÁXIMA NOS EIXOS GOVERNANÇA E
DADOS E TECNOLOGIA)) * 100
";Quanto  maior,  melhor
Índice  de Absenteísmo -Doença;Nacional;"Indica  o percentual  de ausências  por motivo  de doença.  As faltas  são computadas  tanto  para  tratamento  da 
própria saúde, quanto para tratamento de familiar.";Semestral;"Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os glossários  da Resolução 
CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"Índice de absenteísmo = Total de dias de ausência por motivo de saúde (própria ou de familiar) / 365 dias x (Total
de Magistrados + Servidores) x 100
";Quanto  menor,  melhor
Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no;Nacional;O percentual  da força  de trabalho  que participou  de ações  de qualidade  de vida no trabalho.;Semestral;"Questionários Socioambiental - https://www.tjpi.jus.br/portaldaestrategia/plano -de-logistica -sustenta - 
vel-do-tjpi-nova/  
Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os glossários  da Resolução 
CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"PRQVT = (PQV/(FTT * TAQ))x100, onde:
PQVT: Participação de servidores em ações voltadas para qualidade de vida no trabalho (Saúde);
FTT: Total de trabalhadores do órgão; e
TAQT: Total de ações de qualidade de vida realizadas(Saúde)";Quanto  maior,  melhor
Índice  de Capacitação  de Magistrados;Nacional;"Indica  o percentual  de magistrados  capacitados  (participantes  que concluíram,  ao menos,  um curso  de capaci - 
tação) em relação ao total de magistrados.";Anual;EJUD;"ICAPM = (Total de Magistrados Capacitados/ Total de Magistrados) * 100
";Quanto  maior,  melhor
Índice  de Capacitação  de Servidores;Institucional;"Indica  o percentual  de servidores  capacitados  (participantes  que concluíram,  ao menos,  um curso  de capacitação) 
em relação ao total de servidores.";Anual;EJUD;"ICAPS = (Total de Servidores Capacitados/ Total de Servidores) * 100
";Quanto  maior,  melhor
IDOB  - Índice  de Dotações  para  Despesas  Obrigatórias;Nacional;"Mede o percentual de comprometimento dos recursos aprovados na lei orçamentária com 
as despesas  obrigatórias,  revelando,  por consequência,  as restantes  disponibilidades  para  as 
despesas sobre as quais a administração tem discricionariedade na utilização.";Mensal;"Este  índice  será  apurado  anualmente  pelo  Conselho  Nacional  de Justiça.  Após  a publicação  da 
lei orçamentária  de cada  ente  federado.  Estima -se o mês de abril  como  prazo  final  para  a apu- 
ração.  Devido  a eventuais  diferenças  nos parâmetros  e classificações  orçamentárias  utilizadas 
em cada  estado,  poderá  haver  a necessidade  de consulta  aos tribunais  de justiça,  previamente 
a apuração do índice, para confirmação das dotações com essas características.";"IDOB = (DOb / DIn) * 100, onde:
DOb: Dotação inicial na Lei Orçamentária Anual para despesas obrigatórias;
DIn: Dotação inicial aprovada na Lei Orçamentária Anual.";Quanto  maior,  melhor
IEDD  - Índice  de Execução  da Dotações  para  Despesas  Discricionárias;Nacional;"Indica o grau de aproveitamento das dotações aprovadas no orçamento e em créditos adi - 
cionais e destinadas às despesas discricionárias. O percentual de execução desses recursos 
no exercício  relaciona -se com  o grau  de acerto  da administração  nas priorizações  feitas  pela 
administração por ocasião da elaboração da proposta orçamentária.";Mensal;"Este índice será apurado anualmente pelo conselho nacional de justiça, após o encerramen - 
to do exercício, por meio do Sistema Integrado de Administração Financeira (SIAFI) para o 
levantamento dos dados relativos aos Tribunais integrantes do Orçamento Geral da União. 
Estima -se o mês de abril  como  prazo  final  para  a apuração.  No que se refere aos  Tribunais  de 
Justiça,  este  conselho  utilizará  os dados  de execução  orçamentária  publicados  em atendimen - 
to a resolução CNJ n. 102/2009.";"EDD = (EDD/ DD) * 100, onde:
EDD: Montante empenhado de dotações para despesas discricionárias; e DD: Dotação atualizada para despesas discricionárias";Quanto  maior,  melhor
IEP - Índice  de Execução  das Dotações  para  Projetos;Nacional;"Indica o grau de aproveitamento das dotações para despesas discricionárias, aprovadas no 
orçamento e em créditos adicionais, classificadas como projetos. O percentual de execução 
desses  recursos  no exercício  relaciona -se com  a capacidade  da administração  de executar  seus 
investimentos e o acerto nas priorizações.";Mensal;"Este  índice  será  apurado  anualmente  pelo  Conselho  Nacional  de Justiça,  após  o encerramento 
do exercício, por meio do SIAFI para o levantamento dos dados relativos aos tribunais inte - 
grantes do Orçamento Geral da União. Estima -se o mês de abril como prazo final para a apu - 
ração.  No que se refere  aos Tribunais  de Justiça,  este  conselho  utilizará  os dados  de execução 
orçamentária publicados em atendimento a resolução CNJ n. 102/2009. Devido a eventuais 
diferenças nos critérios utilizados pelos estados na identificação das ações orçamentárias 
classificadas como projetos , poderá haver necessidade de consulta aos tribunais de justiça, 
previamente a apuração do índice, para confirmação das dotações com essas características.";"IEP = (EDP/ DP) * 100, onde:
EDP: Montante empenhado de dotações para projetos; e
DP: Dotação atualizada para despesas com projetos.
";Quanto  maior,  melhor
"Índice  de Governança,  Gestão  e Infraestrutura  de Tecnologia  da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD
";Nacional;"Indica  o nível  de maturidade  atingido  por cada  órgão  através  do índice  de Governança  de 
Tecnologia da Informação e Comunicação do Poder Judiciário (iGovTIC -JUD).";Mensal;Os dados  são obtidos  por meio  da aplicação  de questionário  aos órgãos  do Poder  Judiciário.;"Para o cálculo do iGovTIC-JUD, são considerados quatro níveis de consolidação:
1. Nota do Item da pergunta (NI): Os itens das perguntas são valorados de 0 a 100 pontos, de
acordo com o seu grau de importância;
2. Nota Final da Pergunta (NFP): Cada pergunta do iGovTIC-JUD é composta por itens. O
somatório dositens, de cada pergunta, resultará na Nota Final da Pergunta (NFP), que pode
variar de 0 a 100 pontos;
3. Nota Final do Tema (NFT): As perguntas são agrupadas por temas. Cada pergunta possui
um peso definido, em porcentagem, de acordo com o seu grau de importância para o tema. O
somatório dos pesos de todas as perguntas do tema resultará em 100%;
4. Nota final do IGOVTIC-JUD: O resultado é obtido pela média aritmética das Notas Finais dos
Temas (NFTs), conforme a fórmula: IGOVTIC-JUD = (NFT1 + NFT2 + ... + NFT8) / 8";Quanto  maior,  melhor
